ID Steves_ID ra dec x y
8642 z4_GND_39825 189.201816 62.185728 11090.956 7070.006
23278 z4_GND_16722 189.049524 62.256592 15342.824 11328.624
8426 z4_GND_40105 189.216777 62.184636 10672.113 7004.352
18676 z4_GND_24603 189.143131 62.234512 12730.042 9998.477
21362 z4_GND_19989 189.078161 62.247465 14544.229 10778.963
31252 z4_GND_43515 189.174652 62.29749 11845.848 13776.219
19764 z4_GND_22802 189.105832 62.239459 13772.036 10296.956
26506 z4_GND_11412 189.111046 62.271899 13622.792 12243.095
33072 z4_GND_41868 189.204015 62.309378 11026.554 14489.006
8189 z4_GND_40418 189.197715 62.183394 11205.835 6930.021
31565 z4_GND_43284 189.250635 62.299306 9726.492 13884.625
10259 z4_GND_37745 189.249275 62.193781 9762.405 7553.138
25952 z4_GND_12256 189.134005 62.269455 12982.056 12095.383
18535 z4_GND_24846 189.29119 62.233862 8591.595 9958.757
6428 z4_GND_2888 189.219032 62.172694 10609.062 6287.827
23859 z4_GND_15668 189.124633 62.259566 13244.687 11502.45
22674 z4_GND_17773 189.193278 62.253731 11327.743 11150.333
8970 z4_GND_39393 189.188255 62.187393 11470.529 7170.093
11427 z4_GND_36170 189.233357 62.199286 10207.976 7883.371
6878 z4_GND_3324 189.240828 62.175574 9998.63 6460.648
28963 z4_GND_8636 189.211194 62.284591 10826.798 13001.73
19402 z4_GND_23394 189.364973 62.237843 6529.717 10200.748
29938 z4_GND_44273 189.279797 62.289826 8912.704 13316.282
17874 z4_GND_25934 189.232367 62.230843 10235.793 9776.763
15656 z4_GND_28899 189.2031 62.21974 11054.184 9110.743
6110 z4_GND_2588 189.219145 62.170723 10605.917 6169.56
9862 z4_GND_38128 189.222105 62.192092 10522.875 7451.731
12269 z4_GND_35037 189.233361 62.203428 10207.863 8131.894
27473 z4_GND_10168 189.096749 62.276671 14021.338 12530.171
34661 z4_GND_5685 189.202085 62.321451 11080.07 15213.422
19797 z4_GND_22750 189.270264 62.239735 9176.725 10310.65
19803 z4_GND_22736 189.095281 62.239702 14066.869 10312.123
13989 z4_GND_32321 189.378164 62.211497 6157.409 8620.833
7282 z4_GND_3838 189.296334 62.178239 8444.32 6621.481
29564 z4_GND_44395 189.138887 62.288041 12844.222 13210.351
